,Name,Team,Rating
0,Meg Lanning,AUS,749
1,Stafanie Taylor,WI,746
2,Alyssa Healy,AUS,741
3,Smriti Mandhana,IND,732
4,Amy Satterthwaite,NZ,723
5,Tammy Beaumont,ENG,716
6,Laura Wolvaardt,SA,691
7,Ellyse Perry,AUS,691
8,Mithali Raj,IND,687
9,Lizelle Lee,SA,681
