,Name,Team,Rating
0,Trent Boult,NZ,722
1,Mujeeb Ur Rahman,AFG,708
2,Jasprit Bumrah,IND,700
3,Mehedi Hasan,BAN,694
4,Chris Woakes,ENG,675
5,Kagiso Rabada,SA,665
6,Josh Hazlewood,AUS,660
7,Mustafizur Rahman,BAN,658
8,Mohammad Amir,PAK,647
9,Pat Cummins,AUS,646
