,Teams,Match,Points,Rating
0,England,44,5405,123
1,India,52,6102,117
2,New Zealand,32,3716,116
3,Australia,39,4344,111
4,South Africa,31,3345,108
5,Pakistan,35,3490,100
6,Bangladesh,37,3366,91
7,Sri Lanka,39,3297,85
8,West Indies,46,3402,74
9,Afghanistan,31,1844,59
